GalaxyID,M_b_fit,a_fit,ChiSq,RedChiSq
NGC0055,29935519186.63417,14.781063272204419,82.03059703960372,4.317399844189669
NGC2683,68758082153.02281,2.1304917024655903,933.509331911616,103.72325910129067
UGC12632,1114211171006.2615,182.62203138303394,11.49951949460172,0.8845784226616709
F563-V2,336851893017.01605,67.57158965852503,53.2364115491908,6.65455144364885
NGC5585,9105682537.349707,5.784677960710594,21.349866013929784,0.9704484551786265
NGC2976,7.955534461091845e+20,1345297.555242732,931.9120596517555,37.27648238607022
NGC7814,50788780708.5743,0.7991440367383479,175.2309170381563,10.951932314884768
UGC05716,14891110233.059511,16.25919312172128,16.65630351621282,1.665630351621282
F571-V1,26485808018.500916,20.06272573842929,21.48223644909107,4.2964472898182136
UGC11914,108978709134.59006,1.908203990341502,1252.2354874511818,19.87675376906638
NGC0891,60254710220.66345,1.4937029621190308,124.14659249812547,7.759162031132842
DDO170,17329009406.188,19.77423294370766,23.569876902300088,3.928312817050015
F568-V1,43583882478.62573,23.540283755956306,27.194968223220183,2.0919206325553987
ESO079-G014,732660442699.246,54.11555812872426,233.67328458078126,17.974868044675482
UGC06787,78255185720.61395,2.7484951494311565,7361.843590282442,106.6933853664122
NGC2955,240939263005.66394,4.637161405212515,1054.4995384023207,47.931797200105486
UGC03580,21314357395.441936,2.825771298488569,222.9872324368019,4.955271831928931
NGC4100,79215627720.54659,5.462103807803924,4402.631885664157,200.1196311665526
UGC06786,45849341927.33594,1.6078748052988392,2833.0054566086374,65.88384782810785
UGC00128,62971411149.87662,26.4352296653816,239.08836727607203,11.954418363803601
UGC00731,1.7508218695676917e+21,8109186.960192364,181.00406449180213,18.100406449180213
UGC05750,178205086239.94543,72.83882032699306,58.30112540891637,6.47790282321293
UGC07151,15064712154.179401,6.496819319608061,29.741282750601854,3.304586972289095
NGC3972,128180500371.24257,19.3554279656087,128.54121963510764,16.067652454388455
F568-1,1.6773262135190089e+21,5259447.179239985,60.10657158214872,6.010657158214872
NGC7793,23016317782.71965,4.792795990948017,756.7556108021788,17.198991154594975
NGC3877,407502177994.1596,26.209042588381966,509.8967169442871,46.35424699493519
NGC6674,346383705468.40784,6.845299554981781,1216.5477121142337,93.58059323955644
NGC6015,59047772670.34022,5.70967743479274,3568.4485134888464,84.96305984497253
